ID,age,gender,sexualorientation,edu,judge_pic,judge_outfit,judge_job,judge_born,judge_live,judge_car,judge_uni,judge_diet,judge_drink,judge_teeth,judge_posts,judge_grammar,judge_sparetime,judge_total,onenight,friendwb,datingsites,firstdates,seconddates,love,age_virginity,sex_year,sexparters_year,sexparters_life,cheat,whitelie_age,whitelie_divorce,whitelie_kids,whitelie_live,whitelie_job,whitelie_finance,whitelie_interest,whitelie_sexhistory,whitelie_datehistory,whitelie_total
1,23,1,0,2,0,1,1,0,0,1,1,0,0,0,1,1,1,7,NA,NA,2,3,2,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,1
2,31,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,,no,no,NA,4,3,2,24,24,NA,3,"Yes, I've committed both sexual and emotional infidelity",1,0,0,0,1,0,0,0,0,2
7,27,1,0,2,1,0,1,1,0,0,1,0,1,1,1,1,1,,no,no,NA,3,3,0,23,20,1,2,No,0,0,0,0,1,0,1,0,0,2
17,56,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,NA,NA,2,1,5,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,1
20,33,1,0,2,1,1,1,0,0,1,0,0,0,1,1,0,0,,NA,NA,NA,1,1,1,Still a virgin,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,1
22,70,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,,no,yes,NA,1,1,2,19,0,NA,5,"Yes, I've committed emotional infidelity",0,0,0,0,0,0,0,0,0,0
25,76,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,,yes,yes,NA,1,1,3,17,2,1,3,No,0,0,0,1,0,0,0,0,0,1
26,33,0,1,3,1,0,1,0,0,0,1,1,1,1,1,1,0,,yes,no,0,1,1,0,18,0,NA,5,No,0,0,0,0,0,0,0,1,0,1
27,63,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,no,no,NA,2,2,1,19,0,NA,1,No,0,0,0,0,0,0,0,0,0,0
37,46,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
41,34,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,no,no,0,1,1,0,29,0,NA,NA,No,0,0,0,0,0,0,0,0,0,0
46,70,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
55,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,NA,NA,1,1,3,Still a virgin,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
58,54,0,1,3,1,1,1,0,1,1,1,1,0,1,1,1,0,,yes,no,1,2,2,2,14,10,6,300,"Yes, I've committed sexual infidelity",0,0,0,0,0,0,0,0,0,0
61,74,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,NA,NA,2,1,2,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
77,83,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,1
78,61,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,yes,no,NA,1,1,3,16,12,2,25,"Yes, I've committed sexual infidelity",0,0,0,0,0,0,0,0,0,0
79,71,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,,no,no,NA,2,2,2,19,10,1,5,No,0,0,0,0,0,0,1,0,0,1
81,54,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,1,,no,no,NA,1,1,4,38,0,NA,7,"Yes, I've committed both sexual and emotional infidelity",0,0,0,0,0,0,1,0,1,2
82,63,0,0,3,1,1,0,0,0,0,0,1,1,1,0,1,1,,yes,yes,1,8,3,4,20,0,NA,NA,"Yes, I've committed sexual infidelity",0,0,0,0,0,0,0,1,0,1
88,51,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,,no,no,0,1,1,0,25,0,NA,NA,No,0,0,0,0,0,0,0,0,0,0
113,69,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,,yes,no,NA,1,1,2,13 & under,0,NA,25,No,0,0,0,0,0,0,0,0,0,0
116,68,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,,no,no,NA,1,1,7,19,10,1,8,"Yes, I've committed both sexual and emotional infidelity",0,0,0,0,0,0,0,0,0,0
118,18,0,3,0,1,0,0,0,0,0,0,0,0,1,0,1,0,,NA,NA,NA,1,1,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
123,60,0,0,2,1,1,0,0,0,1,0,0,1,1,0,0,0,,yes,yes,0,1,1,5,14,20,3,NA,"Yes, I've committed sexual infidelity",1,0,0,0,0,1,0,1,1,4
141,55,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,,yes,yes,NA,1,2,4,18,58,1,NA,No,0,0,0,0,0,0,0,0,0,0
150,34,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,,no,no,NA,1,1,2,29,0,NA,NA,No,0,0,0,0,0,1,0,1,0,2
153,30,1,0,3,1,1,1,0,1,0,1,1,0,1,1,1,1,,yes,no,0,7,3,2,18,0,NA,5,No,0,0,0,0,0,0,0,0,0,0
154,28,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,,NA,NA,1,1,1,0,Still a virgin,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
162,50,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,,yes,yes,0,1,1,3,20,14,9,NA,"Yes, I've committed both sexual and emotional infidelity",0,0,0,0,0,0,0,0,0,0
167,57,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,1,,no,no,NA,1,1,2,18,0,NA,4,"Yes, I've committed both sexual and emotional infidelity",0,0,0,0,0,0,0,0,0,0
168,39,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,,yes,yes,0,1,1,2,15,1,1,15,No,0,0,0,0,0,0,0,0,0,0
169,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,NA,0,1,1,2,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
173,55,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,,no,no,NA,1,1,3,13 & under,0,NA,4,"Yes, I've committed emotional infidelity",0,0,0,0,0,0,0,0,0,0
184,79,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,,no,no,NA,1,1,25,21,5,1,1,"Yes, I've committed sexual infidelity",0,0,0,0,1,0,0,0,0,1
191,44,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,1
192,76,1,0,3,0,1,0,0,0,0,0,1,1,1,0,1,0,,yes,yes,NA,1,1,4,18,0,NA,6,"Yes, I've committed sexual infidelity",0,0,0,0,0,0,0,0,0,0
196,48,0,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,,yes,yes,0,8,5,3,15,4,2,NA,No,0,0,0,0,0,1,1,1,1,4
217,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,yes,yes,NA,3,4,6,18,NA,3,NA,No,0,0,0,0,0,0,0,0,0,0
221,48,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,,yes,no,2,1,1,2,20,6,3,12,No,0,0,0,1,0,1,0,0,0,2
224,69,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,,yes,yes,NA,1,1,3,21,1,1,4,"Yes, I've committed both sexual and emotional infidelity",0,0,0,1,0,0,0,0,0,1
243,52,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,NA,NA,1,1,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
255,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,NA,NA,1,1,0,Still a virgin,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
257,28,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,,no,no,NA,3,7,4,25,0,NA,1,"Yes, I've committed emotional infidelity",0,0,0,0,0,0,1,0,0,1
